AnchorPoint	ExplorationNum	ExplorationType
10F	10B-4	RobotArm
10F	8F-1	Camera
10F	8F-2	RobotArm
10F	8F-3	RobotArm
10F	8F-4	Camera
10F	7F-1	Camera
10F	7F-2	RobotArm
10F	7F-3	RobotArm
10F	7F-4	Camera
10F	6F-1	Camera
10F	6F-2	RobotArm
10F	6F-3	RobotArm
10F	6F-4	Camera
10F	12F-1	RobotArm
10F	12F-2	Camera
10F	12F-3	Camera
10F	12F-4	RobotArm
10F	13F-1	RobotArm
10F	13F-2	Camera
10F	13F-3	Camera
10F	13F-4	RobotArm
10F	14F-1	RobotArm
10F	14F-2	Camera
10F	14F-3	Camera
10F	14F-4	RobotArm
